TransactionID,CustomerID,MovieID,RentalDate,ReturnDate,RentalCost,LateFee,RewindFlag,CreatedDate,UpdatedDate
8EEB675F-4734-45C0-A303-00DA0E582718,8E05C086-0F08-4DA0-8DCF-EDC290ECB043,731D66EC-79A0-46EB-8FD0-5C04F34FBCE6,20170103,20170107,4.95,1.00,1,2017-01-03,2017-01-07
4AFD19E8-0FE8-4A3C-ADD0-03235105DE07,C1CB6720-C287-4EFA-8607-354F8652A8DE,8DDCCB91-424B-48AC-8124-12959F61207C,20170103,20170107,4.95,1.00,0,2017-01-03,2017-01-07
DFE60D7D-50C0-4E5E-82B9-0347458F3622,6BAF4315-8CCC-4CAE-89AD-C322A84BE39B,4A66B970-5FF0-40FA-A011-A5FF5EBF2B7C,20170103,20170107,4.95,1.00,0,2017-01-03,2017-01-07
3F0F93C4-A014-44ED-9BF5-0417FB17D11B,D5558AAB-BC2E-47A8-B20C-AAF7F6E5EAE1,F9FE3132-F7FB-406A-8F9B-A2314716DCDC,20170103,20170106,4.95,0.00,0,2017-01-03,2017-01-06
FBFA5455-F05C-45D3-8E91-05D56862599E,B09477DC-5DCD-412A-AC13-01606E390264,8F6BE3F1-468B-4EA1-A7F3-1CAAE88BFBB3,20170103,20170106,4.95,0.00,0,2017-01-03,2017-01-06
0497006A-D9CB-42C8-9A7A-070B3CBC5B13,14042897-9C47-4E60-962F-0CAFB43F90FE,152C31C6-F3E8-454B-9B21-461416A89C58,20170103,20170106,4.95,0.00,1,2017-01-03,2017-01-06
CA462D20-7DCB-4333-9FEF-0878F0313C30,3C52474B-041A-4E91-8C91-C10C4FA409E3,731D66EC-79A0-46EB-8FD0-5C04F34FBCE6,20170103,20170107,4.95,1.00,0,2017-01-03,2017-01-07
73603898-3EAD-4F63-A8D4-08A7601EB0A9,21158F3A-2572-40DE-B96C-A145FBC4A7F0,D899CD0F-0B0D-4A9A-BA1A-6B171AAE9A4C,20170103,20170106,4.95,0.00,0,2017-01-03,2017-01-06
9A02688A-5493-4AED-B145-0C8272E719D6,B14EA582-B33C-4143-8A4C-BFF86096329A,44F4AF56-7C39-4340-B10E-56799D55ED62,20170103,20170106,4.95,0.00,1,2017-01-03,2017-01-06
A77739DC-46A1-4E1C-99DD-102EB3797971,248B5F8A-ABF4-4957-ADEB-B4B98A6C03E9,8F6BE3F1-468B-4EA1-A7F3-1CAAE88BFBB3,20170103,20170108,4.95,2.00,0,2017-01-03,2017-01-08
056B6329-B333-47D6-8A17-1170C6066212,FA0039A7-8698-455E-A894-219243FBFD7E,D8426A74-DD99-4B64-A817-1B3205474C7F,20170103,20170107,4.95,1.00,0,2017-01-03,2017-01-07
A5A02513-EC69-4C9E-ADFA-12203C15AD6A,F41A357C-44F1-4F0A-BAAD-3660D1774D61,152C31C6-F3E8-454B-9B21-461416A89C58,20170103,20170106,4.95,0.00,0,2017-01-03,2017-01-06
A891B26E-5722-450B-B1BA-12284509BC4E,43ED1B51-3C5F-492B-BAB8-B6A41112C7E2,094CD260-BBBF-4E9A-9253-FAD4B935673A,20170103,20170107,4.95,1.00,0,2017-01-03,2017-01-07
4EEF9C78-E685-4A43-B164-13391218A462,35E060C7-F3C8-4D18-8140-5CF80EF34CAC,D899CD0F-0B0D-4A9A-BA1A-6B171AAE9A4C,20170103,20170106,4.95,0.00,0,2017-01-03,2017-01-06
0C4D054A-126F-43E0-A596-14B37E796406,5D05837D-826F-4C6F-99A5-7F7919337767,8DDCCB91-424B-48AC-8124-12959F61207C,20170103,20170107,4.95,1.00,0,2017-01-03,2017-01-07
4C96969D-E18D-4894-97C2-1A8BE627A7F1,84207B0B-9A67-4F48-A1D8-D3A7CE6AB5BD,8F6BE3F1-468B-4EA1-A7F3-1CAAE88BFBB3,20170103,20170106,4.95,0.00,0,2017-01-03,2017-01-06
2D29B96B-6888-4B5C-B106-1BA483FBC142,E91E882C-CDDF-43FE-845C-FA24D976E7F4,4A66B970-5FF0-40FA-A011-A5FF5EBF2B7C,20170103,20170106,4.95,0.00,0,2017-01-03,2017-01-06
EF91878F-081A-4D07-88E4-1FABB3BE8BE2,18E2BAE0-4997-4A48-A4CF-BF1D3E1C37DB,8DDCCB91-424B-48AC-8124-12959F61207C,20170103,20170108,4.95,2.00,0,2017-01-03,2017-01-08
E36C7886-A301-4717-B1D7-1FEFBEB23F05,D61E6E18-A323-4438-8FFC-3103A6AA86F4,152C31C6-F3E8-454B-9B21-461416A89C58,20170103,20170106,4.95,0.00,0,2017-01-03,2017-01-06
0FF2487F-9096-4925-836D-2018E2148C27,0AAE3A3C-8AA7-4411-85FE-BEE55C59F562,271820D5-3997-4CE5-A40B-FDC52F506DF5,20170103,20170106,4.95,0.00,1,2017-01-03,2017-01-06
AD8F9909-1A1C-4192-8E57-211C9D08766D,88A05466-55F8-4D4D-9C90-FDEEBE6597D6,152C31C6-F3E8-454B-9B21-461416A89C58,20170103,20170108,4.95,2.00,0,2017-01-03,2017-01-08
84C185AB-7351-4E43-A75B-2340536F2DB1,9CA21C61-1A4F-435C-94AE-9BCC73E388A5,37EE22A4-A04E-4EC9-B4DB-81CA67CF24B0,20170103,20170106,4.95,0.00,0,2017-01-03,2017-01-06
EC183F71-0CEE-42ED-A01E-235D256734AA,34BFAE92-C57A-4C66-9D8F-349B391E202B,152C31C6-F3E8-454B-9B21-461416A89C58,20170103,20170107,4.95,1.00,0,2017-01-03,2017-01-07
3BDCA769-A233-41C8-AFF0-252515F0704F,33C81844-09BF-48F4-AAF9-9D2E5AD7CCE4,094CD260-BBBF-4E9A-9253-FAD4B935673A,20170103,20170107,4.95,1.00,1,2017-01-03,2017-01-07
8576466C-144A-4B4F-A0BD-26A0B2675A4F,792BC953-83D5-45DC-98CA-673C05F6D589,44F4AF56-7C39-4340-B10E-56799D55ED62,20170103,20170107,4.95,1.00,0,2017-01-03,2017-01-07
D5D3D016-DED0-4C40-8E24-26B8E1E407FA,4656DD9F-3993-424A-B14A-3B4259552035,F8718447-40F5-468B-9C8D-BAC272B0FC43,20170103,20170107,4.95,1.00,0,2017-01-03,2017-01-07
8123BCD7-858E-4683-91C8-2AC3919F8570,BF853613-E6E6-4180-A596-DDB6195ECB52,F8718447-40F5-468B-9C8D-BAC272B0FC43,20170103,20170108,4.95,2.00,1,2017-01-03,2017-01-08
CAA23137-2EA0-453E-8785-2AEF480D3550,3BA863F6-C9DD-4AC9-A85D-05D6F5F72383,F8718447-40F5-468B-9C8D-BAC272B0FC43,20170103,20170106,4.95,0.00,0,2017-01-03,2017-01-06
9C7626B3-2969-43F8-91B7-2B726160311B,B83DE811-F2CE-4941-857F-F1242F16961A,731D66EC-79A0-46EB-8FD0-5C04F34FBCE6,20170103,20170106,4.95,0.00,0,2017-01-03,2017-01-06
CAEEB90E-8F4F-4478-A545-2CFDBA7AD1BB,7CA0200A-CE8D-45FE-9143-C2B35DEAC47B,D8426A74-DD99-4B64-A817-1B3205474C7F,20170103,20170106,4.95,0.00,1,2017-01-03,2017-01-06
6F3DEFD3-0F23-4993-9189-2DBC2009F171,308CE9CF-EF8D-4ECD-8570-A5EF9C6A1656,4A66B970-5FF0-40FA-A011-A5FF5EBF2B7C,20170103,20170106,4.95,0.00,0,2017-01-03,2017-01-06
